Age,Gender,MaritalStatus,Occupation,IncomeLevel,Education,Location,FamilySize,DrivingScore,ClaimHistory,VehicleType,VehicleAge,AnnualMileage,PreviousPolicy,RiskAppetite,CoverageAmount,PremiumBudget,TenurePreference,AddonsInterested,RecommendedProduct
18,Female,Married,Student,High,Doctorate,Metro,1,68,Yes,Car,3,19614,Third-Party,High,1000000,15000,3,NCB Protection,Third-Party
38,Male,Married,Retired,High,High School,Urban,5,85,No,Car,0,42617,Comprehensive,Medium,500000,15000,1,None,Comprehensive
61,Female,Single,Retired,Medium,Graduate,Rural,4,99,No,SUV,3,7818,Comprehensive,Medium,1000000,30000,1,Roadside Assistance,Comprehensive
60,Male,Single,Salaried,Medium,Graduate,Metro,2,68,No,Bike,11,31824,Own Damage,High,100000,25000,5,Zero Depreciation,Third-Party
27,Male,Single,Student,Low,Graduate,Metro,5,96,Yes,SUV,5,48149,Own Damage,Low,1000000,25000,1,Engine Protection,Own Damage + Add-ons
19,Male,Single,Salaried,Medium,High School,Rural,4,93,No,SUV,2,19878,Comprehensive,Low,300000,15000,3,Zero Depreciation,Comprehensive
38,Female,Single,Salaried,High,Doctorate,Rural,2,96,No,SUV,5,21901,Third-Party,Low,500000,10000,5,Engine Protection,Own Damage + Add-ons
30,Female,Single,Retired,Low,Postgraduate,Urban,5,60,No,Bike,15,49490,Comprehensive,High,200000,30000,5,Engine Protection,Third-Party
61,Male,Married,Student,Low,Graduate,Rural,2,99,No,SUV,11,11838,Comprehensive,Low,1000000,10000,3,None,Third-Party
67,Female,Married,Self-Employed,Medium,Doctorate,Rural,1,88,Yes,SUV,12,23037,Own Damage,Medium,100000,25000,3,Engine Protection,Third-Party
45,Female,Single,Retired,Low,Doctorate,Rural,3,41,No,Commercial,8,24577,Own Damage,Medium,300000,30000,1,Roadside Assistance,Own Damage + Add-ons
47,Male,Single,Salaried,Medium,Graduate,Urban,5,90,No,SUV,3,24182,Own Damage,Low,1000000,30000,5,Engine Protection,Comprehensive
35,Female,Married,Student,High,High School,Metro,2,49,No,SUV,4,29097,Own Damage,High,300000,15000,3,NCB Protection,Own Damage + Add-ons
59,Female,Single,Salaried,High,High School,Rural,4,63,No,SUV,10,8271,Own Damage,Low,100000,30000,5,NCB Protection,Third-Party
19,Female,Single,Salaried,Medium,Graduate,Urban,1,66,No,Commercial,4,48664,Third-Party,High,300000,5000,1,Zero Depreciation,Own Damage + Add-ons
36,Male,Married,Salaried,High,Doctorate,Urban,3,90,No,Bike,11,38373,Third-Party,Medium,100000,30000,1,Engine Protection,Third-Party
38,Female,Married,Student,Medium,High School,Metro,4,90,No,SUV,4,26761,Comprehensive,Medium,500000,20000,5,None,Comprehensive
43,Female,Single,Retired,Medium,Graduate,Urban,1,71,Yes,Commercial,13,26135,Own Damage,Low,300000,5000,3,Engine Protection,Third-Party
63,Male,Single,Self-Employed,High,Graduate,Metro,5,84,Yes,SUV,1,14028,Own Damage,High,200000,30000,5,Engine Protection,Comprehensive
42,Male,Single,Salaried,High,Graduate,Rural,4,62,Yes,Car,4,21372,Comprehensive,Medium,200000,30000,1,Engine Protection,Third-Party
36,Female,Single,Self-Employed,Low,High School,Metro,2,87,No,Commercial,14,17369,Own Damage,High,200000,30000,1,None,Third-Party
42,Female,Single,Retired,High,Postgraduate,Urban,1,96,No,SUV,2,35796,Comprehensive,Medium,1000000,30000,5,Zero Depreciation,Comprehensive
58,Male,Married,Salaried,High,Graduate,Metro,1,91,Yes,Car,19,24362,Third-Party,Low,500000,30000,5,Engine Protection,Third-Party
37,Male,Single,Student,Medium,Doctorate,Rural,5,83,Yes,SUV,13,13633,Third-Party,Low,500000,30000,1,Zero Depreciation,Third-Party
23,Male,Single,Salaried,Medium,Graduate,Metro,1,75,Yes,SUV,17,21259,Third-Party,Medium,100000,10000,3,None,Third-Party
35,Female,Single,Salaried,High,Graduate,Metro,3,96,No,SUV,6,26767,Third-Party,Medium,100000,10000,1,Zero Depreciation,Own Damage + Add-ons
66,Male,Married,Salaried,Low,Graduate,Metro,2,60,Yes,Commercial,1,42301,Comprehensive,High,1000000,10000,1,Zero Depreciation,Own Damage + Add-ons
35,Female,Married,Salaried,Medium,Doctorate,Rural,5,61,Yes,Commercial,13,28686,Own Damage,Medium,300000,25000,3,Roadside Assistance,Third-Party
37,Male,Single,Retired,Medium,Graduate,Urban,3,62,Yes,Commercial,10,32672,Comprehensive,Low,1000000,25000,5,Engine Protection,Third-Party
56,Female,Single,Retired,High,Doctorate,Urban,5,93,No,Car,11,17690,Own Damage,Medium,200000,30000,3,Zero Depreciation,Third-Party
51,Female,Single,Student,High,Postgraduate,Rural,5,51,Yes,Bike,1,22337,Comprehensive,Low,500000,5000,1,Engine Protection,Third-Party
27,Female,Single,Salaried,High,Graduate,Urban,2,52,No,Bike,13,9802,Third-Party,High,100000,5000,3,Roadside Assistance,Third-Party
50,Female,Single,Student,High,High School,Metro,1,73,No,Commercial,4,9969,Third-Party,Medium,100000,5000,5,Roadside Assistance,Own Damage + Add-ons
68,Female,Married,Salaried,High,Postgraduate,Metro,5,64,No,Bike,5,24648,Third-Party,Low,500000,10000,3,Zero Depreciation,Third-Party
36,Female,Married,Student,Low,Doctorate,Urban,4,41,No,SUV,1,24002,Third-Party,Low,200000,20000,3,Zero Depreciation,Own Damage + Add-ons
19,Male,Single,Salaried,Medium,Doctorate,Metro,2,80,No,Bike,13,21866,Comprehensive,Low,200000,20000,5,Roadside Assistance,Third-Party
64,Female,Single,Retired,Low,Doctorate,Rural,2,93,No,Bike,14,17020,Third-Party,High,200000,15000,1,NCB Protection,Third-Party
66,Male,Single,Salaried,Low,Graduate,Metro,4,60,No,Car,8,46261,Own Damage,Low,500000,15000,1,Zero Depreciation,Third-Party
20,Male,Single,Salaried,High,Postgraduate,Rural,2,95,No,Bike,17,16355,Own Damage,High,1000000,30000,3,NCB Protection,Third-Party
47,Male,Married,Retired,Medium,Doctorate,Metro,5,70,No,Commercial,16,10190,Third-Party,High,200000,30000,3,None,Third-Party
56,Male,Married,Student,High,Graduate,Urban,3,57,No,SUV,19,19676,Own Damage,Medium,1000000,10000,3,None,Third-Party
36,Female,Married,Self-Employed,Low,Doctorate,Urban,1,55,No,SUV,1,22891,Comprehensive,High,300000,15000,5,None,Own Damage + Add-ons
38,Male,Single,Retired,Medium,Postgraduate,Metro,3,53,No,Commercial,3,36712,Comprehensive,Medium,100000,20000,3,Zero Depreciation,Own Damage + Add-ons
61,Male,Married,Student,Medium,Graduate,Rural,2,72,No,Commercial,15,27150,Comprehensive,Medium,1000000,25000,1,Zero Depreciation,Third-Party
31,Female,Married,Salaried,High,High School,Rural,4,85,No,SUV,1,43844,Comprehensive,Medium,300000,10000,5,None,Comprehensive
48,Female,Married,Self-Employed,Low,Graduate,Rural,2,46,Yes,Car,12,7875,Comprehensive,Low,500000,25000,1,NCB Protection,Third-Party
38,Male,Single,Student,High,Postgraduate,Rural,2,77,Yes,Commercial,13,20518,Third-Party,Medium,300000,15000,5,Zero Depreciation,Third-Party
34,Male,Married,Student,Medium,High School,Rural,2,59,No,SUV,19,23545,Third-Party,Low,300000,25000,5,Zero Depreciation,Third-Party
68,Female,Married,Salaried,High,Doctorate,Rural,1,43,No,Car,0,29448,Own Damage,Medium,100000,5000,3,Engine Protection,Third-Party
41,Male,Married,Salaried,Medium,Postgraduate,Rural,2,50,No,SUV,13,15920,Comprehensive,Medium,300000,10000,3,Engine Protection,Third-Party
54,Female,Married,Student,High,Doctorate,Urban,2,45,No,SUV,9,41024,Third-Party,Low,300000,10000,3,Engine Protection,Own Damage + Add-ons
57,Female,Single,Salaried,Low,Postgraduate,Urban,2,78,Yes,Car,9,44458,Own Damage,Medium,100000,30000,3,Roadside Assistance,Third-Party
58,Male,Married,Self-Employed,Low,Doctorate,Urban,4,89,No,Commercial,7,37817,Third-Party,Medium,500000,15000,3,Zero Depreciation,Own Damage + Add-ons
51,Male,Single,Salaried,High,Graduate,Urban,5,46,No,Commercial,0,42742,Comprehensive,Low,200000,20000,1,None,Own Damage + Add-ons
64,Male,Married,Self-Employed,Low,High School,Metro,2,84,Yes,Bike,17,11964,Comprehensive,Low,1000000,25000,1,Roadside Assistance,Third-Party
37,Male,Married,Self-Employed,High,Graduate,Rural,2,69,No,Commercial,15,23677,Own Damage,Low,1000000,25000,3,Roadside Assistance,Third-Party
33,Female,Single,Salaried,Medium,Postgraduate,Urban,2,81,Yes,Commercial,19,47707,Third-Party,Medium,300000,30000,1,Roadside Assistance,Third-Party
66,Female,Single,Student,Low,High School,Rural,1,62,Yes,Car,2,19259,Own Damage,High,200000,25000,3,None,Third-Party
59,Female,Single,Self-Employed,Low,Graduate,Rural,4,67,No,Car,13,40580,Own Damage,Low,200000,25000,1,Roadside Assistance,Third-Party
29,Female,Married,Salaried,Low,Postgraduate,Rural,3,77,Yes,SUV,2,20934,Comprehensive,Medium,300000,15000,1,Engine Protection,Own Damage + Add-ons
58,Female,Married,Retired,Medium,High School,Rural,5,74,No,Car,8,36781,Comprehensive,High,1000000,25000,5,Roadside Assistance,Third-Party
41,Male,Married,Self-Employed,Low,Graduate,Metro,2,95,No,Car,8,19201,Own Damage,High,1000000,30000,3,NCB Protection,Third-Party
30,Male,Married,Student,Low,Doctorate,Rural,3,40,Yes,SUV,10,44517,Comprehensive,Medium,200000,30000,5,Engine Protection,Third-Party
51,Male,Married,Student,High,High School,Urban,3,63,No,SUV,6,42637,Comprehensive,High,200000,5000,3,Zero Depreciation,Own Damage + Add-ons
44,Female,Single,Student,High,Doctorate,Urban,1,99,Yes,Bike,13,26974,Third-Party,Low,300000,30000,1,Zero Depreciation,Third-Party
55,Male,Married,Retired,Medium,High School,Metro,1,87,No,Car,13,9990,Own Damage,Medium,1000000,30000,1,Engine Protection,Third-Party
38,Female,Married,Self-Employed,Medium,Graduate,Metro,3,67,No,Bike,10,15731,Comprehensive,Medium,1000000,25000,3,Zero Depreciation,Third-Party
20,Male,Married,Retired,High,Postgraduate,Rural,2,94,No,Bike,3,21787,Comprehensive,Low,300000,5000,1,None,Comprehensive
66,Female,Married,Retired,Low,Graduate,Metro,5,73,Yes,Bike,6,5458,Comprehensive,High,300000,25000,3,None,Third-Party
31,Male,Married,Retired,High,Graduate,Metro,2,56,Yes,Commercial,7,21517,Comprehensive,Medium,500000,20000,5,Roadside Assistance,Own Damage + Add-ons
60,Female,Single,Retired,High,High School,Urban,4,63,Yes,SUV,19,18011,Comprehensive,Medium,200000,30000,5,NCB Protection,Third-Party
55,Male,Married,Self-Employed,Medium,Doctorate,Metro,4,70,No,Car,15,42553,Comprehensive,Low,200000,25000,3,Roadside Assistance,Third-Party
54,Male,Married,Self-Employed,Medium,Graduate,Urban,4,59,Yes,Bike,7,32162,Own Damage,Medium,200000,10000,5,NCB Protection,Third-Party
58,Female,Married,Student,Low,Doctorate,Urban,2,98,No,SUV,13,12389,Third-Party,Medium,100000,30000,3,Zero Depreciation,Third-Party
59,Female,Single,Retired,High,High School,Urban,1,68,No,SUV,13,32567,Third-Party,Medium,100000,25000,3,Engine Protection,Third-Party
61,Female,Single,Retired,Low,Postgraduate,Rural,3,67,Yes,Commercial,12,23638,Own Damage,Low,300000,20000,5,Roadside Assistance,Third-Party
47,Female,Married,Salaried,Medium,High School,Urban,3,53,No,Car,1,35175,Comprehensive,Medium,500000,25000,1,None,Third-Party
62,Female,Married,Self-Employed,Medium,Doctorate,Metro,2,81,No,Bike,3,9021,Comprehensive,Low,100000,30000,5,Roadside Assistance,Comprehensive
27,Male,Married,Salaried,Medium,Doctorate,Metro,2,99,No,Commercial,3,12271,Own Damage,Medium,200000,30000,5,None,Comprehensive
18,Female,Single,Self-Employed,Low,Doctorate,Urban,5,65,No,SUV,9,37384,Comprehensive,High,500000,20000,3,Engine Protection,Own Damage + Add-ons
56,Male,Single,Retired,Low,Graduate,Urban,4,80,Yes,Bike,3,43003,Third-Party,High,1000000,5000,3,Engine Protection,Third-Party
45,Female,Married,Salaried,High,Doctorate,Urban,2,83,No,Car,16,20075,Third-Party,Medium,300000,15000,3,Engine Protection,Third-Party
62,Female,Married,Self-Employed,Medium,Doctorate,Urban,5,50,No,Commercial,5,29026,Own Damage,Medium,100000,15000,5,Roadside Assistance,Own Damage + Add-ons
36,Female,Single,Salaried,High,Graduate,Urban,5,55,Yes,Bike,10,29181,Comprehensive,Low,500000,5000,3,None,Third-Party
47,Female,Married,Salaried,Medium,Doctorate,Metro,1,75,No,SUV,2,23000,Comprehensive,High,100000,30000,1,Zero Depreciation,Own Damage + Add-ons
37,Male,Married,Student,High,Graduate,Rural,4,68,No,Bike,1,13639,Comprehensive,High,100000,25000,5,NCB Protection,Third-Party
69,Female,Married,Student,Medium,Postgraduate,Urban,3,66,No,Commercial,12,37059,Comprehensive,Medium,300000,10000,1,Engine Protection,Third-Party
37,Male,Single,Retired,High,Graduate,Urban,2,68,No,SUV,6,42525,Third-Party,Medium,100000,10000,5,Zero Depreciation,Own Damage + Add-ons
40,Male,Married,Retired,Low,Graduate,Rural,1,67,No,Bike,1,19010,Third-Party,Low,300000,20000,5,Roadside Assistance,Third-Party
48,Female,Married,Retired,Low,Doctorate,Urban,1,71,Yes,Car,0,12675,Comprehensive,Low,300000,25000,5,NCB Protection,Third-Party
49,Male,Married,Self-Employed,High,High School,Metro,5,66,Yes,Commercial,17,12828,Own Damage,Low,1000000,30000,5,Zero Depreciation,Third-Party
64,Female,Married,Retired,Medium,Graduate,Metro,3,50,No,Commercial,16,43057,Own Damage,Medium,200000,20000,1,Zero Depreciation,Third-Party
69,Male,Married,Salaried,Low,High School,Rural,1,84,Yes,Commercial,11,37778,Third-Party,Medium,1000000,25000,1,Engine Protection,Third-Party
43,Male,Married,Student,High,Postgraduate,Urban,4,47,Yes,Commercial,5,33338,Own Damage,Low,100000,25000,5,Zero Depreciation,Own Damage + Add-ons
31,Male,Married,Salaried,Low,Graduate,Urban,1,95,Yes,Car,5,41593,Third-Party,High,1000000,25000,5,Zero Depreciation,Third-Party
23,Male,Single,Salaried,High,Doctorate,Metro,5,88,No,SUV,18,37647,Third-Party,Medium,500000,10000,5,NCB Protection,Third-Party
50,Female,Married,Student,High,Postgraduate,Metro,1,92,Yes,Car,9,36790,Own Damage,Medium,1000000,20000,5,NCB Protection,Third-Party
25,Male,Married,Student,Low,Graduate,Urban,5,82,Yes,Car,1,23151,Comprehensive,Medium,1000000,5000,5,Roadside Assistance,Comprehensive
21,Male,Married,Retired,Low,Graduate,Urban,1,43,No,Bike,7,15409,Comprehensive,Low,1000000,5000,3,Engine Protection,Third-Party
30,Female,Single,Self-Employed,High,Doctorate,Urban,4,91,No,Bike,4,16433,Third-Party,Medium,300000,15000,5,Engine Protection,Comprehensive
52,Male,Married,Retired,High,Doctorate,Urban,2,96,Yes,Bike,3,6152,Comprehensive,Medium,200000,10000,5,Zero Depreciation,Comprehensive
46,Male,Married,Retired,High,Doctorate,Urban,2,51,No,Bike,3,35680,Third-Party,High,1000000,5000,3,Engine Protection,Third-Party
42,Female,Single,Self-Employed,High,Graduate,Metro,1,71,Yes,Bike,14,27660,Comprehensive,Low,1000000,5000,1,Engine Protection,Third-Party
51,Male,Single,Salaried,High,High School,Metro,3,98,No,Car,12,25591,Third-Party,Low,200000,20000,3,None,Third-Party
28,Male,Single,Retired,Low,Doctorate,Metro,2,51,Yes,Commercial,4,12885,Own Damage,Low,1000000,15000,1,Zero Depreciation,Own Damage + Add-ons
55,Female,Married,Student,Medium,High School,Metro,1,90,Yes,Car,14,9577,Comprehensive,Low,200000,20000,1,None,Third-Party
46,Male,Married,Retired,High,Doctorate,Rural,2,95,No,SUV,19,47594,Third-Party,Medium,1000000,10000,3,Roadside Assistance,Third-Party
62,Female,Single,Retired,Medium,High School,Metro,5,99,No,Bike,6,38125,Own Damage,Low,1000000,20000,3,NCB Protection,Third-Party
39,Female,Married,Salaried,Medium,Graduate,Urban,1,64,No,SUV,13,6186,Own Damage,Medium,500000,25000,1,Engine Protection,Third-Party
51,Female,Married,Retired,Medium,Graduate,Metro,1,63,No,Commercial,11,49133,Own Damage,Medium,500000,30000,1,Engine Protection,Third-Party
63,Male,Single,Salaried,High,Graduate,Metro,2,59,Yes,Bike,5,31482,Own Damage,Low,500000,20000,1,None,Third-Party
28,Female,Married,Retired,Low,High School,Metro,4,89,No,Commercial,6,25159,Comprehensive,Low,300000,10000,3,Engine Protection,Own Damage + Add-ons
45,Male,Married,Salaried,Medium,High School,Rural,1,81,Yes,Bike,1,10230,Comprehensive,Medium,100000,15000,5,NCB Protection,Comprehensive
25,Male,Married,Self-Employed,High,Postgraduate,Metro,1,46,No,Car,12,48993,Comprehensive,High,500000,20000,1,Zero Depreciation,Third-Party
41,Female,Married,Student,Low,Doctorate,Metro,4,71,Yes,Commercial,18,7465,Comprehensive,High,100000,5000,3,None,Third-Party
27,Female,Married,Salaried,Low,High School,Urban,4,90,No,Bike,18,44154,Third-Party,Low,200000,10000,1,Engine Protection,Third-Party
32,Female,Single,Student,Medium,Doctorate,Urban,4,45,No,Bike,14,27903,Own Damage,Medium,100000,5000,5,NCB Protection,Third-Party
62,Female,Married,Retired,Medium,Postgraduate,Urban,3,58,No,Car,16,30264,Third-Party,Medium,200000,30000,5,Engine Protection,Third-Party
56,Female,Single,Retired,Medium,Postgraduate,Urban,3,91,No,Bike,13,45293,Third-Party,Low,100000,20000,1,Engine Protection,Third-Party
56,Female,Single,Salaried,Low,High School,Rural,4,57,Yes,Commercial,4,11340,Comprehensive,High,200000,30000,3,Zero Depreciation,Own Damage + Add-ons
38,Female,Single,Self-Employed,Low,Graduate,Metro,3,51,Yes,Car,0,24213,Own Damage,High,500000,15000,3,None,Third-Party
53,Male,Married,Student,Low,High School,Rural,4,82,No,Bike,18,9509,Own Damage,High,500000,30000,1,None,Third-Party
53,Female,Married,Salaried,Medium,Postgraduate,Metro,5,86,No,Commercial,13,37202,Own Damage,Low,500000,15000,1,NCB Protection,Third-Party
67,Female,Single,Salaried,Medium,Graduate,Urban,5,76,No,Commercial,8,39123,Third-Party,Low,200000,20000,5,None,Own Damage + Add-ons
65,Female,Married,Student,High,High School,Metro,1,49,Yes,Car,17,49967,Comprehensive,High,300000,10000,5,Roadside Assistance,Third-Party
37,Female,Single,Salaried,High,Graduate,Metro,1,62,Yes,Commercial,2,33058,Third-Party,Low,100000,25000,3,Zero Depreciation,Own Damage + Add-ons
30,Male,Single,Student,Medium,Postgraduate,Metro,4,57,No,SUV,18,39752,Comprehensive,Medium,200000,20000,5,Engine Protection,Third-Party
19,Female,Married,Retired,Low,High School,Rural,4,60,No,Bike,12,38468,Third-Party,High,500000,20000,1,None,Third-Party
64,Female,Married,Student,Low,Graduate,Urban,3,93,No,SUV,0,8675,Comprehensive,Low,100000,15000,1,Roadside Assistance,Comprehensive
44,Female,Married,Self-Employed,Medium,Postgraduate,Urban,1,86,No,Commercial,4,26428,Own Damage,Medium,500000,20000,3,None,Comprehensive
24,Male,Married,Student,High,High School,Rural,3,93,Yes,Bike,9,49695,Third-Party,Medium,300000,20000,3,Engine Protection,Third-Party
58,Male,Single,Retired,Medium,High School,Rural,2,52,Yes,Bike,10,36066,Comprehensive,High,1000000,15000,3,None,Third-Party
43,Female,Married,Student,Medium,Graduate,Rural,4,41,No,SUV,6,9513,Own Damage,Medium,500000,15000,1,Engine Protection,Own Damage + Add-ons
47,Female,Married,Student,Low,Graduate,Urban,1,41,No,SUV,10,7409,Own Damage,Medium,1000000,10000,3,NCB Protection,Third-Party
36,Female,Married,Salaried,Medium,Graduate,Urban,1,57,No,Car,15,40351,Comprehensive,Low,300000,5000,3,None,Third-Party
57,Male,Single,Student,Medium,High School,Urban,3,74,No,Bike,16,41862,Own Damage,Medium,1000000,20000,5,Zero Depreciation,Third-Party
38,Male,Single,Retired,Low,Graduate,Rural,5,87,No,SUV,17,22727,Own Damage,High,500000,25000,5,Engine Protection,Third-Party
43,Male,Single,Retired,Low,Graduate,Rural,4,73,No,Bike,17,13410,Third-Party,High,300000,25000,3,Zero Depreciation,Third-Party
27,Female,Married,Self-Employed,Low,Doctorate,Urban,4,80,No,Car,9,9171,Third-Party,Low,100000,20000,1,NCB Protection,Third-Party
53,Female,Single,Student,Low,Graduate,Metro,4,49,No,SUV,3,25152,Comprehensive,Low,1000000,20000,1,Zero Depreciation,Own Damage + Add-ons
61,Female,Single,Salaried,High,High School,Metro,5,76,No,Commercial,19,27763,Comprehensive,Low,1000000,30000,1,Zero Depreciation,Third-Party
44,Male,Married,Retired,High,High School,Urban,4,71,No,Car,16,26728,Comprehensive,High,200000,15000,3,NCB Protection,Third-Party
25,Female,Married,Self-Employed,Medium,Doctorate,Metro,5,64,No,Bike,1,18851,Own Damage,Low,500000,10000,3,None,Third-Party
43,Male,Single,Student,Low,Postgraduate,Rural,5,63,Yes,Commercial,17,32594,Comprehensive,High,500000,10000,3,NCB Protection,Third-Party
18,Male,Married,Salaried,Low,High School,Urban,3,60,Yes,Commercial,10,30318,Third-Party,High,1000000,15000,5,Roadside Assistance,Third-Party
40,Female,Single,Student,Low,Doctorate,Rural,4,84,No,Car,0,28445,Own Damage,Low,1000000,25000,3,Engine Protection,Comprehensive
26,Female,Single,Student,High,High School,Metro,5,78,No,Car,15,36879,Third-Party,Medium,1000000,5000,5,Engine Protection,Third-Party
48,Male,Married,Self-Employed,Medium,Graduate,Urban,5,99,Yes,Car,4,13686,Third-Party,Low,500000,25000,3,None,Comprehensive
24,Male,Married,Retired,Medium,Graduate,Metro,3,73,Yes,Car,5,36929,Third-Party,High,200000,25000,3,NCB Protection,Third-Party
26,Female,Single,Student,Medium,High School,Rural,4,65,Yes,Bike,12,29405,Own Damage,Medium,1000000,5000,1,Engine Protection,Third-Party
24,Female,Single,Student,Low,Doctorate,Urban,2,81,Yes,Car,10,30282,Comprehensive,Low,500000,5000,5,Engine Protection,Third-Party
45,Female,Single,Self-Employed,High,High School,Rural,5,78,No,Commercial,13,43156,Comprehensive,Medium,500000,10000,5,Zero Depreciation,Third-Party
51,Male,Single,Salaried,Low,Graduate,Rural,1,44,No,Commercial,6,27128,Third-Party,High,200000,5000,3,NCB Protection,Own Damage + Add-ons
69,Female,Single,Student,Low,Graduate,Rural,3,45,Yes,Car,8,27176,Own Damage,Low,200000,15000,5,Zero Depreciation,Third-Party
33,Male,Married,Retired,High,Doctorate,Rural,3,71,No,Car,8,26134,Own Damage,Low,200000,5000,5,Roadside Assistance,Third-Party
27,Female,Married,Student,Medium,Doctorate,Urban,3,80,No,Car,16,41467,Third-Party,Medium,100000,25000,3,Roadside Assistance,Third-Party
41,Female,Single,Student,High,Graduate,Metro,4,71,No,Car,5,29842,Comprehensive,Low,100000,15000,3,Roadside Assistance,Third-Party
27,Female,Single,Retired,Low,Postgraduate,Metro,2,47,No,Commercial,6,47785,Own Damage,Medium,1000000,5000,3,None,Own Damage + Add-ons
63,Male,Married,Self-Employed,Low,Graduate,Rural,1,57,Yes,Car,9,41189,Comprehensive,Medium,500000,10000,1,NCB Protection,Third-Party
46,Female,Single,Student,High,Postgraduate,Rural,3,97,No,Bike,4,44100,Comprehensive,High,200000,10000,1,None,Comprehensive
42,Female,Married,Retired,High,Doctorate,Rural,5,93,No,Car,1,40394,Own Damage,Low,100000,25000,1,Roadside Assistance,Comprehensive
58,Female,Married,Retired,High,High School,Metro,2,40,Yes,Bike,7,40119,Comprehensive,Medium,1000000,20000,5,None,Third-Party
47,Female,Married,Salaried,Medium,Graduate,Urban,2,63,Yes,Car,0,7554,Own Damage,Medium,500000,25000,3,Engine Protection,Third-Party
68,Female,Married,Self-Employed,Medium,Postgraduate,Metro,3,86,No,Bike,12,14984,Third-Party,Medium,200000,5000,3,None,Third-Party
36,Female,Single,Retired,High,Graduate,Metro,1,56,Yes,SUV,11,39709,Own Damage,Medium,100000,25000,1,NCB Protection,Third-Party
48,Male,Married,Student,High,Graduate,Rural,3,57,Yes,Bike,3,34561,Comprehensive,High,100000,15000,1,Zero Depreciation,Third-Party
47,Male,Single,Self-Employed,Low,High School,Rural,1,59,No,Commercial,9,17340,Comprehensive,Low,500000,30000,3,NCB Protection,Own Damage + Add-ons
51,Female,Single,Retired,High,Postgraduate,Urban,3,65,No,SUV,5,6193,Comprehensive,Low,100000,25000,3,Zero Depreciation,Own Damage + Add-ons
45,Female,Married,Self-Employed,Medium,Doctorate,Rural,3,89,No,SUV,14,14247,Third-Party,High,500000,10000,3,None,Third-Party
69,Male,Married,Student,High,Postgraduate,Rural,3,69,No,Bike,14,23405,Third-Party,Low,200000,15000,1,None,Third-Party
36,Female,Single,Salaried,High,Graduate,Rural,4,76,Yes,SUV,18,49149,Comprehensive,High,500000,30000,3,NCB Protection,Third-Party
28,Female,Single,Student,High,High School,Metro,3,66,Yes,SUV,1,12073,Third-Party,Low,200000,10000,1,Zero Depreciation,Own Damage + Add-ons
45,Female,Single,Self-Employed,Low,Doctorate,Urban,2,78,No,Commercial,7,11026,Own Damage,Medium,300000,30000,5,Roadside Assistance,Own Damage + Add-ons
23,Male,Married,Student,Medium,High School,Urban,5,62,Yes,Commercial,5,7285,Own Damage,High,100000,25000,3,Roadside Assistance,Own Damage + Add-ons
34,Male,Single,Retired,High,High School,Metro,5,65,No,Commercial,10,13654,Comprehensive,Low,300000,5000,1,None,Third-Party
54,Male,Single,Self-Employed,Low,Graduate,Metro,3,44,Yes,SUV,7,38933,Own Damage,Medium,500000,25000,3,None,Own Damage + Add-ons
44,Female,Married,Student,High,Doctorate,Rural,4,53,No,Car,6,13557,Comprehensive,High,200000,15000,1,Engine Protection,Third-Party
60,Male,Single,Student,Medium,High School,Urban,3,74,No,Commercial,18,6213,Third-Party,Medium,100000,10000,1,None,Third-Party
53,Male,Married,Student,Low,Doctorate,Metro,3,92,No,Car,13,44665,Comprehensive,High,1000000,25000,3,None,Third-Party
18,Female,Single,Salaried,Low,Doctorate,Metro,1,71,Yes,Commercial,19,40228,Comprehensive,High,100000,5000,1,Engine Protection,Third-Party
33,Female,Single,Salaried,Low,Doctorate,Rural,2,84,No,Bike,17,9371,Third-Party,High,1000000,5000,5,Engine Protection,Third-Party
21,Male,Single,Salaried,Medium,High School,Rural,1,43,No,Bike,7,38068,Third-Party,Medium,100000,20000,1,NCB Protection,Third-Party
64,Male,Single,Salaried,High,High School,Urban,5,61,No,Car,5,11524,Own Damage,Low,200000,30000,5,None,Third-Party
40,Female,Single,Student,Low,Postgraduate,Urban,4,88,No,Commercial,13,33223,Comprehensive,Low,500000,30000,1,Roadside Assistance,Third-Party
49,Female,Single,Salaried,Medium,Doctorate,Urban,1,72,No,Bike,4,13417,Comprehensive,High,200000,5000,1,None,Third-Party
20,Male,Single,Student,Low,High School,Rural,2,52,No,Commercial,6,6884,Own Damage,High,100000,25000,1,None,Own Damage + Add-ons
61,Male,Single,Retired,Low,High School,Urban,2,47,Yes,Bike,19,7551,Comprehensive,Low,1000000,5000,3,Zero Depreciation,Third-Party
38,Female,Married,Retired,Low,Graduate,Rural,2,77,No,Commercial,3,22098,Third-Party,Low,200000,5000,3,Zero Depreciation,Own Damage + Add-ons
41,Female,Single,Retired,Medium,Postgraduate,Urban,5,85,No,Commercial,10,44425,Comprehensive,Low,200000,15000,5,NCB Protection,Third-Party
32,Male,Married,Self-Employed,Medium,Doctorate,Rural,1,48,No,Car,1,46512,Third-Party,High,1000000,5000,5,Roadside Assistance,Third-Party
28,Male,Married,Retired,High,High School,Urban,2,97,No,Car,13,16079,Third-Party,Low,300000,25000,1,Zero Depreciation,Third-Party
20,Male,Single,Self-Employed,Low,High School,Metro,5,83,Yes,Commercial,7,34285,Third-Party,Low,100000,5000,3,Roadside Assistance,Own Damage + Add-ons
